Domain,Num_Params,Param_Names,Param_Values,No.
dk.b8vip.art,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","1bf41f01dda2a26242b3e7e23324aaed, facebookads, quangvinh, conversion, 120237853325170234, thethao, IwdGRjcAOkdZZleHRuA2FlbQEwAGFkaWQBqyuw4S2_KnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4nDtsVYYpXxyjlvpmZH2NcurndLEToa2nA1g1JDBU0Gi947LgJXNhCvOPdTQ_aem_Z7DVJiFB7emXEgd1F_IWTQ, 120237853325150234",1
axjndvucr.com,8,"z, var, pb, pbc, pbi, pbu, psp, eucx","2020815, [ERRORCODE]_2123024, 1a5eb207016ce56c0fde6acd381dd2e31765266588, r_fpQxQYtGOc1Ddp, c18mMOtTryKc1Ddp, ReNOvKOuuB-c1Ddp, Ccs2hmCl9PO6zSb042boWPOCEXHC-EDJjkckioLXMvTYQqc6ojDV4YrlpMvqA799wA8cCxc3ZBht-zQ7tb6JoHhNuQOBuHr3naWmt9Cxeduo08w6aLngdFPQLNlxzPywrvaTEchK9MsfV9DKc1CqpI90IvIM1xtzlwa5gZL99R5eUE1mh96lcvDj-KGAvmzyN8T5oE9UqjF81HCrc0hjkkWh4CqD4wGPrdeFGsG1EmOqg0BnmABJN5Hr8KOOfoLCDyv-cClDaNmOMLSoaOXqoPXHSqPfRTw9Tvjuhzhdw88xh1EnS-mt00qlqbm0FQj-nL1QagNYGTP4w1OU, 3",2
sdlc-esd.oracle.com,6,"GroupName, FilePath, BHost, File, AuthParam, ext","JSC, /ESD6/JSCDL/jdk/8u471-b09/99a6cb9582554a09bd4ac60f73f9b8e6/jre-8u471-windows-x64.exe, javadl.sun.com, jre-8u471-windows-x64.exe, 1765266023_7d80678b8fcdd6ed886af951d9a4b0f6, .exe",3
https://stripchats.io/?affiliateId=091225p2f28zytdl69up4wlcxd9r2c7ikyinltvpu6obbmei93oy5i8ypffm38kt&realDomain=go.stripchat.com&stripbotVariation=NullWidget,0,Error,"HTTPSConnectionPool(host='stripchats.io', port=443): Max retries exceeded with url: /?affiliateId=091225p2f28zytdl69up4wlcxd9r2c7ikyinltvpu6obbmei93oy5i8ypffm38kt&realDomain=go.stripchat.com&stripbotVariation=NullWidget (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",4
ad.vic88.cfd,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","e6867747685a09961f3ef93b1543d1d6, facebookads, xq, conversion, 120233539089840217, game, IwdGRjcAOm0adleHRuA2FlbQEwAGFkaWQBqyprnLG4qXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR56fi3Y_MeH_s3Dz2p6zd0lCtW6x_-v1WBGuiDdSYIK6TEdRYwlw-QPssVoVg_aem_ogMQydskO92RvYRDetc5Ow, 120233539089830217",5
www.b9sports.online,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm0cZleHRuA2FlbQEwAGFkaWQBqyx8xfIHVHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5vUUE-1yUW6igVZFWt6XIUoMiaTMrf4EMF0950MthrL-AHDKGsZ_IPuwa0OQ_aem__Trva4MbmlOINJ2CP1_Psg, paid, fb, 120238729424020100, 120238729424040100, 120238729424100100, 120238729424020100",6
cf789vn.club,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm0kVleHRuA2FlbQEwAGFkaWQBqypJxKUMEXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7TzJX7Vb9jCBQYC4ZSrpyALtE8dV3VKNpIaPOBSYlLvr8u9dM76XTZP3hccQ_aem_2riyYx-ecH5vr6Ei0BAfRQ, paid, fb, 120236311240320177, 120236311240490177, 120236311240450177, 120236311240320177",7
login.thethaobig88.autos,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","baa1caa6f3a034060fa80ce5526e67c8, facebookads, toto, conversion-120240533429960260, New Leads Ad Set - Copy, sport, IwdGRjcAOm0nhleHRuA2FlbQEwAGFkaWQBqy9QSjWDRHNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR4iH9EaKc4DM_8qylI0VTjjFtnIwQ5SPxNFnbLTGJ0b-5lnp2mRztx4a6q1QQ_aem_YVS4gKW_tRIUBSMrQpmyrA, 120240533313390260",8
https://all.kong88d.club/?a=fafb81ed19118d1315fdbd7db664c663&utm_campaign=facebookads&utm_source=toto&utm_medium=conversion&utm_content=sports&fbclid=IwdGRjcAOm0pFleHRuA2FlbQEwAGFkaWQBqyt-4HM2nXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_sEKMGXs3IAySVrgXvHBTvA&utm_id=120237638861310781&utm_term=120237638861480781,0,Error,"HTTPSConnectionPool(host='all.kong88d.club', port=443): Max retries exceeded with url: /?a=fafb81ed19118d1315fdbd7db664c663&utm_campaign=facebookads&utm_source=toto&utm_medium=conversion&utm_content=sports&fbclid=IwdGRjcAOm0pFleHRuA2FlbQEwAGFkaWQBqyt-4HM2nXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_sEKMGXs3IAySVrgXvHBTvA&utm_id=120237638861310781&utm_term=120237638861480781 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",9
https://ad.choibu88.vip/?a=exo_7aaca9be79e260149be6624bec1905d5&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120237675251990337&utm_content=bong&fbclid=IwdGRjcAOm0qhleHRuA2FlbQEwAGFkaWQBqyuHf4PncXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_hvvKWUyt2EgwDvag-m4j0g&utm_id=120237675252010337,0,Error,"HTTPSConnectionPool(host='ad.choibu88.vip', port=443): Max retries exceeded with url: /?a=exo_7aaca9be79e260149be6624bec1905d5&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120237675251990337&utm_content=bong&fbclid=IwdGRjcAOm0qhleHRuA2FlbQEwAGFkaWQBqyuHf4PncXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_hvvKWUyt2EgwDvag-m4j0g&utm_id=120237675252010337 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",10
https://ad.chientip88.pro/?a=exo_dd7b56f14a89c590395a9e9344184b31&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120244767840530537&utm_content=bong&fbclid=IwdGRjcAOm0sBleHRuA2FlbQEwAGFkaWQBqzH6vhRcWXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_xhZ4zrLj-8COxe5G2P08Jw&utm_id=120244767840520537,0,Error,"HTTPSConnectionPool(host='ad.chientip88.pro', port=443): Max retries exceeded with url: /?a=exo_dd7b56f14a89c590395a9e9344184b31&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120244767840530537&utm_content=bong&fbclid=IwdGRjcAOm0sBleHRuA2FlbQEwAGFkaWQBqzH6vhRcWXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_xhZ4zrLj-8COxe5G2P08Jw&utm_id=120244767840520537 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",11
